id,title,authors,link,tags,originally_announced_at
45,Attention for Fine-Grained Categorization,"['Pierre Sermanet', 'Andrea Frome', 'Esteban Real']",https://arxiv.org/abs/1412.7054,"['cs.CV', 'cs.LG', 'cs.NE']","Submitted 10 April, 2015; v1 submitted 22 December, 2014;
      originally announced December 2014."
46,Sequence Modeling using Gated Recurrent Neural Networks,['Mohammad Pezeshki'],https://arxiv.org/abs/1501.00299,"['cs.NE', 'cs.LG']","Submitted 1 January, 2015; 
      originally announced January 2015."
47,An Empirical Study of the L2-Boost technique with Echo State Networks,['Sebastián Basterrech'],https://arxiv.org/abs/1501.00503,"['cs.LG', 'cs.NE']","Submitted 2 January, 2015; 
      originally announced January 2015."
48,Scaling Recurrent Neural Network Language Models,"['Will Williams', 'Niranjani Prasad', 'David Mrva', 'Tom Ash', 'Tony Robinson']",https://arxiv.org/abs/1502.00512,"['cs.CL', 'cs.LG']","Submitted 2 February, 2015; 
      originally announced February 2015."
49,Gated Feedback Recurrent Neural Networks,"['Junyoung Chung', 'Caglar Gulcehre', 'Kyunghyun Cho', 'Yoshua Bengio']",https://arxiv.org/abs/1502.02367,"['cs.NE', 'cs.LG', 'stat.ML']","Submitted 17 June, 2015; v1 submitted 9 February, 2015;
      originally announced February 2015."
50,Describing Videos by Exploiting Temporal Structure,"['Li Yao', 'Atousa Torabi', 'Kyunghyun Cho', 'Nicolas Ballas', 'Christopher Pal', 'Hugo Larochelle', 'Aaron Courville']",https://arxiv.org/abs/1502.08029,"['stat.ML', 'cs.AI', 'cs.CL', 'cs.CV', 'cs.LG']","Submitted 30 September, 2015; v1 submitted 27 February, 2015;
      originally announced February 2015."
51,Neural Responding Machine for Short-Text Conversation,"['Lifeng Shang', 'Zhengdong Lu', 'Hang Li']",https://arxiv.org/abs/1503.02364,"['cs.CL', 'cs.AI', 'cs.NE']","Submitted 26 April, 2015; v1 submitted 8 March, 2015;
      originally announced March 2015."
52,Single stream parallelization of generalized LSTM-like RNNs on a GPU,"['Kyuyeon Hwang', 'Wonyong Sung']",https://arxiv.org/abs/1503.02852,"['cs.NE', 'cs.LG']","Submitted 10 March, 2015; 
      originally announced March 2015."
53,$gen$CNN: A Convolutional Architecture for Word Sequence Prediction,"['Mingxuan Wang', 'Zhengdong Lu', 'Hang Li', 'Wenbin Jiang', 'Qun Liu']",https://arxiv.org/abs/1503.05034,['cs.CL'],"Submitted 24 April, 2015; v1 submitted 17 March, 2015;
      originally announced March 2015."
54,End-To-End Memory Networks,"['Sainbayar Sukhbaatar', 'Arthur Szlam', 'Jason Weston', 'Rob Fergus']",https://arxiv.org/abs/1503.08895,"['cs.NE', 'cs.CL']","Submitted 24 November, 2015; v1 submitted 30 March, 2015;
      originally announced March 2015."
